program,category,bn,name,principal,staffopen,studentopen,receiving_bn,receiving_name,receiving_principal,receiving_address,receiving_borough,receiving_zip,address,latitude,longitude,index
ALL GRADES,3,K728,LIBERATION DIPLOMA PLUS,APRIL LEONG,"Monday, November 5","Wednesday, November 7",K500,CANARSIE HS,,1600 ROCKAWAY PARKWAY,BROOKLYN,,2865 WEST 19TH STREET Brooklyn NY 11224,40.577065,-73.985937,K728 ALL GRADES
GRADES K-3,3,K277,P.S. 277 GERRITSEN BEACH,JEANNE FISH,"Monday, November 5","Wednesday, November 7",K278,I.S. 278,,1925 STUART STREET,BROOKLYN,,2529 GERRITSEN AVENUE Brooklyn NY 11229,40.596381,-73.929068,K277 GRADES K-3
"GRADES 4,5",3,K277,P.S. 277 GERRITSEN BEACH,JEANNE FISH,"Monday, November 5","Wednesday, November 7",K240,I.S. 240,,2500 NOSTRAND AVENUE,BROOKLYN,,2529 GERRITSEN AVENUE Brooklyn NY 11229,40.596381,-73.929068,"K277 GRADES 4,5"
TBD,3,Q340,CHALLENGE PREPARATORY CHARTER SCHOOL,LaToiya Tolliver-Revell,"Monday, November 5","Wednesday, November 7",TBD,TBD,,TBD,TBD,,710 HARTMAN LANE Queens NY 11691,40.599861,-73.76396,Q340 TBD
ALL GRADES,3,Q042,P.S./M.S 042 R. VERNAM,PATRICIA FINN,"Monday, November 5","Wednesday, November 7",Q059,I.S. 59,,132-55 RIDGEDALE STREET,QUEENS,,488 BEACH  66 STREET Queens NY 11692,40.594615,-73.795312,Q042 ALL GRADES
ALL GRADES,3,K755,ADULT AND CONTINUING EDUCATION,DAISY TORRES / RYNTHA HENDERSON AMARE,"Monday, November 5","Wednesday, November 7",K292,I.S. 292,,301 VERMONT STREET,BROOKLYN,,   ,,,K755 ALL GRADES
GRADES PK-3,3,Q043,P.S. 043,GARY FAIRWEATHER,"Monday, November 5","Wednesday, November 7",Q226,I.S. 226,,121-10 ROCKAWAY BOULEVARD,QUEENS,,160 BEACH  29 STREET Queens NY 11691,40.593845,-73.761741,Q043 GRADES PK-3
GRADES 4-8,3,Q043,P.S. 043,GARY FAIRWEATHER,"Monday, November 5","Wednesday, November 7",K292,I.S. 292,,301 VERMONT STREET,BROOKLYN,,160 BEACH  29 STREET Queens NY 11691,40.593845,-73.761741,Q043 GRADES 4-8
ALL GRADES,3,Q047,P.S. 047 CHRIS GALAS,ANN MOYNAGH,"Monday, November 5","Wednesday, November 7",Q181,P.S. 181,,148-15 230 STREET,QUEENS,,9 POWER ROAD Queens NY 11693,40.606064,-73.820506,Q047 ALL GRADES
ALL GRADES,3,Q114,P.S. / M.S. 114 BELLE HARBOR,STEPHEN P. GRILL,"Monday, November 5","Wednesday, November 7",K345,P.S. 345,,111 BERRIMAN STREET,BROOKLYN,,134-01 CRONSTON AVENUE Queens NY 11694,40.578282,-73.85437,Q114 ALL GRADES
GRADES PK-3,3,Q105,P.S. 105 THE BAY SCHOOL,LAURIE SHAPIRO,"Monday, November 5","Wednesday, November 7",Q040,P.S. 40,,109-20 UNION HALL STREET,QUEENS,,420 BEACH  51 STREET Queens NY 11691,40.596162,-73.781913,Q105 GRADES PK-3
GRADES 4-8,3,Q105,P.S. 105 THE BAY SCHOOL,LAURIE SHAPIRO,"Monday, November 5","Wednesday, November 7",Q072,J.H.S. 72,,133-25 GUY R BREWER BOULEVARD,QUEENS,,420 BEACH  51 STREET Queens NY 11691,40.596162,-73.781913,Q105 GRADES 4-8
ALL GRADES,3,Q106,P.S. 106,MARCELLA SILLS,"Monday, November 5","Wednesday, November 7",Q223,P.S. 223,,125-20 SUTPHIN BOULEVARD,QUEENS,,180 BEACH  35 STREET Queens NY 11691,40.593772,-73.767194,Q106 ALL GRADES
ALL GRADES,3,Q114,P.S. / M.S. 114 BELLE HARBOR,STEPHEN P. GRILL,"Monday, November 5","Wednesday, November 7",K345,P.S. 345,,111 BERRIMAN STREET,BROOKLYN,,134-01 CRONSTON AVENUE Queens NY 11694,40.578282,-73.85437,Q114 ALL GRADES
GRADES 6-8,3,Q323,SCHOLARS' ACADEMY,BRIAN O'CONNELL,"Monday, November 5","Wednesday, November 7",K013,P.S. 13,,557 PENNSYLVANIA AVENUE,BROOKLYN,,320 BEACH 104TH STREET Queens NY 11694,40.584148,-73.825719,Q323 GRADES 6-8
GRADES 9-12,3,Q323,SCHOLARS' ACADEMY,BRIAN O'CONNELL,"Monday, November 5","Wednesday, November 7",K660,WILLIAM MAXWELL CTE HS,,145 PENNSYLVANIA AVENUE,BROOKLYN,,320 BEACH 104TH STREET Queens NY 11694,40.584148,-73.825719,Q323 GRADES 9-12
ALL GRADES,3,K755,ADULT AND CONTINUING EDUCATION,DAISY TORRES / RYNTHA HENDERSON AMARE,"Monday, November 5","Wednesday, November 7",K171,I.S. 171,,528 RIDGEWOOD AVENUE,BROOKLYN,,   ,,,K755 ALL GRADES
